body,Positive Psychology,PP: Gratitude,PP: Optimism,PP: Strengths,PP: Meaning,PP: Positive Reappraisal,PP: Humor,PP: General Education,Physical Activity,Diet,Directive,Social
"Increasing physical activity can help improve sleep, energy level, and mood. What can you do as a first step towards being more active?",0,0,0,0,0,0,0,0,1,0,0,0
"While physical activity can seem exhausting at first, being more active can increase energy levels in the long run. What can you do to be active today or tomorrow?",0,0,0,0,0,0,0,0,1,0,1,0
"Increasing physical activity can help improve memory, mood, stress level, and sleep. How can you be more active today? Start with something small!",0,0,0,0,0,0,0,0,1,0,1,0
"Physical activity can help lower blood pressure and cholesterol, which in turn, can lower your risk for a heart attack or stroke. How can you be more active today?",0,0,0,0,0,0,0,0,1,0,1,0
Physical activity can make your muscles and bones stronger. How can you be more active today to start strengthening your body?,0,0,0,0,0,0,0,0,1,0,1,0
Increasing physical activity can improve balance and flexibility and even help you look younger. Set aside a few minutes today to move around!,0,0,0,0,0,0,0,0,1,0,1,0
Setting and meeting a goal can be a powerful experience! What goal would you like to set for becoming more physically active?,0,0,0,0,0,0,0,0,1,0,1,0
"Do you have trouble sticking with an exercise program? If so, the key might be finding the type of physical activity that you enjoy. It's helpful to try out different types of exercise to see which you like the most!",0,0,0,0,0,0,0,0,1,0,0,0
Moving in small ways each day can make a big difference over time in terms of increasing level of activity! How can you work in a small walk today to reduce sitting time and get in a few extra steps?,0,0,0,0,0,0,0,0,1,0,1,0
"There are so many ways to be active! How about trying one today? Here are some ideas: walking while on the phone, dancing to music, playing with your kids or pets, standing up and moving around during TV commercials, or taking a short walk after a meal.",0,0,0,0,0,0,0,0,1,0,1,0
"Bad weather can interfere with physical activity, especially when it is very hot or very cold. What kind of back-up plan can you create for engaging in physical activity even when the weather isn't perfect? Why not try an indoor activity?",0,0,0,0,0,0,0,0,1,0,0,0
"Instead of completing all of your physical activity at once, you can also break it up into smaller chunks throughout the day. Try breaking up your activity into smaller, more manageable pieces either today or tomorrow!",0,0,0,0,0,0,0,0,1,0,1,0
"An important aspect of maintaining physical activity is being safe and knowing your limits. It's always a good idea to slow down or stop if you feel very tired, sick, faint, or pain (including chest pain).",0,0,0,0,0,0,0,0,1,0,0,0
"Doing different types of exercises on different days rather than repeating the same type of activity all the time can be helpful for a variety of reasons. Not only can it help increase interest and motivation, but it can also prevent over-use strains or injuries to certain parts of your body!",0,0,0,0,0,0,0,0,1,0,0,0
"Engaging in new types of physical activity can improve mood and physical functioning. However, to prevent injurities, make sure you start small and focus on slow, gradual progress!",0,0,0,0,0,0,0,0,1,0,0,0
"Finding time to exercise throughout the day can be difficult. Try being creative today and look for small opportunities like taking a short walk at work in between meetings, taking the stairs instead of the elevator, or parking a little farther away!",0,0,0,0,0,0,0,0,1,0,1,0
"Some types of exercise can be expensive, but there are also many free activities that you can try like walking or classes at a community center in your area!",0,0,0,0,0,0,0,0,1,0,0,0
"There are so many different types of physical activity you can try - walking, biking, swimming, yoga, hiking, Tai Chi, tennis, group fitness classes, gardening, weight lifting, and more. Try something new today to find what activity you enjoy the most!",0,0,0,0,0,0,0,0,1,0,1,0
"Physical activity can benefit you in many more ways than just promoting weight loss. In can improve sleep, mood, balance, stress level, energy, and alertness!",0,0,0,0,0,0,0,0,1,0,0,0
"Try the ""talk test"" to see if you are being active at a moderate pace. If you can carry on a conversation with a friend while you are performing the activity without difficulty, you are at a moderate pace!",0,0,0,0,0,0,0,0,1,0,0,0
"Tracking your physical activity can motivate you to do more! Try using a watch, clock, timer, fitness tracker, or phone app to track how much you move today.",0,0,0,0,0,0,0,0,1,0,1,0
"Keeping track of your physical activity can be very helpful. Try using a notebook, spreadsheet, smartphone app, or whatever works for you. And don't worry if you miss days; just try your best!",0,0,0,0,0,0,0,0,1,0,0,0
Keeping track of your physical activity every day can be very helpful in maintaining your routine. Try finding a method of tracking and a particular time of day to make a note of what exercise you did throughout the day that works for you!,0,0,0,0,0,0,0,0,1,0,0,0
"Sometimes, tracking physical activity in a way that is easy to see, like on a calendar or hanging a tracking sheet on your fridge, can give you extra motivation. Try it out today!",0,0,0,0,0,0,0,0,1,0,1,0
It can be difficult to establish a habit of regularly tracking your physical activity. Try using reminders like sticking a post-it-note where you will easily see it or setting an alarm at the end of the day!,0,0,0,0,0,0,0,0,1,0,0,0
Tracking your physical activity is one of the best ways to maintain progress when working towards a goal. What's an easy way of tracking that you can start today and do every day?,0,0,0,0,0,0,0,0,1,0,1,0
Tracking your physical activity does not have to be difficult or time-consuming. What is an easy way of keeping track of your activity every day?,0,0,0,0,0,0,0,0,1,0,0,0
"Choosing a healthy diet can seem complicated and overwhelming at time. Try starting with foods that are rich in fiber like vegetables and avoid foods that are high in calories, fat, and sugar content!",0,0,0,0,0,0,0,0,0,1,0,0
"Try filling half of your plate with non-starchy vegetables like lettuce, spinach, carrots, peppers, broccoli, or asparagus as much as you can. These foods are low in calories and high in fiber!",0,0,0,0,0,0,0,0,0,1,0,0
"To improve your diet, a good rule of thumb is to try to limit grains or starchy foods like bread or potatoes to only a quarter of your plate for each meal.",0,0,0,0,0,0,0,0,0,1,0,0
"When choosing a good source of protein, focus on lean proteins such as chicken or fish. There are many healthy and delicious ways to prepare these versatile meats!",0,0,0,0,0,0,0,0,0,1,0,0
"Juice and soda often have surprisingly high levels of sugar. When reaching for a beverage, try sticking to water, tea, or coffee (without added sugar) instead!",0,0,0,0,0,0,0,0,0,1,0,0
"If you are watching your weight, try eating more delicious low starch, low calorie vegetables like broccoli, carrots, celery, leafy greens, or peppers.",0,0,0,0,0,0,0,0,0,1,0,0
"When reaching for a grain or a starchy food, try choosing healthy options such as 100% whole grain bread or tortillas, black beans, brown rice, or green peas!",0,0,0,0,0,0,0,0,0,1,0,0
"If you're craving something sweet, try eating a piece of fruit. Apples, apricots, blueberries, strawberries, or oranges can be a sweet and delicious dessert!",0,0,0,0,0,0,0,0,0,1,0,0
"Snack foods, candy, cookies, ice cream, and anything made with corn syrup may taste good but are especially unhealthy. Try to eat these treats only on special occasions!",0,0,0,0,0,0,0,0,0,1,0,0
Fried foods like french fries and fried chicken can be so tempting but are not very healthy. Try to limit these foods as much as possible!,0,0,0,0,0,0,0,0,0,1,0,0
"If you like dairy products, try choosing small portions of low-fat milk, yogurt, and cheese!",0,0,0,0,0,0,0,0,0,1,0,0
It's a great idea to always have fruits and vegetables on hand. One way to do this on a budget is to keep frozen veggies and fruit in your freezer that you can quickly heat up!,0,0,0,0,0,0,0,0,0,1,0,0
"Here are some helpful tips for a successful trip to the grocery store: never shop when you are hungry, buy healthy items in large quantities, and make a list before you go!",0,0,0,0,0,0,0,0,0,1,0,0
"Having a collection of recipes for tasty, simple, healthy meals will make it easier to make a healthy diet part of your daily routine. Start your collection today!",0,0,0,0,0,0,0,0,0,1,1,0
A trick to making healthy food taste better is to add herbs and spices. What are your favorite herbs and spices that can make low-calorie meals more satisfying?,0,0,0,0,0,0,0,0,0,1,0,0
"Having supportive family and friends who will shop, cook, and eat healthy foods with you can help you stay on track. Reach out to someone and share recipes today!",0,0,0,0,0,0,0,0,0,1,1,1
"If you'd like to lose weight, a good way to start is cutting 500 calories per day. What high-calorie foods can you eat less of this week?",0,0,0,0,0,0,0,0,0,1,1,0
"Foods high in fiber can help you feel full for longer periods of time, which can help reduce snacking and over-eating. Vegetables and fruits are high in fiber; try eating more today!",0,0,0,0,0,0,0,0,0,1,1,0
Tracking what you eat can help you identify ways that you can improve your diet. Try keeping a food journal for a week and see if it motivates you to be more healthy!,0,0,0,0,0,0,0,0,0,1,1,0
"Try at least one new healthy food this week to find what you like the most. There are so many vegetables, fruits, and healthy grains to choose from!",0,0,0,0,0,0,0,0,0,1,1,0
"A healthy meal includes a wide variety of colors, textures, and tastes. Try eating a healthy meal tonight that is colorful and complex!",0,0,0,0,0,0,0,0,0,1,1,0
"Set aside one night per week to have a healthy meal. Try a healthy ethnic dish, soup, or vegetarian option!",0,0,0,0,0,0,0,0,0,1,1,0
Delete - not relevant (diabetes),,0,0,0,0,0,0,0,,,,
"The best way to stay motivated to make a change is to develop a realistic plan for improvement and measure and track your progress! Try writing down a specific, realistic plan for improving your diet today!",0,0,0,0,0,0,0,0,0,1,1,0
"The best way to stay motivated to make a chance is to develop a realistic plan for improvement and measure and track your progress! Try writing down a specific, realistic plan for increasing physical activity today!",0,0,0,0,0,0,0,0,1,0,1,0
A great way to help you stay motivated is to recognize the small successes you make on the way to improving your diet and reward yourself!,0,0,0,0,0,0,0,0,0,1,0,0
A great way to help you stay motivated is to recognize the small successes you make on the way to meeting your physical activity goal and reward yourself!,0,0,0,0,0,0,0,0,1,0,0,0
Think about all the progress you've already made in improving your diet and how much closer you are now to reaching your ultimate goals!,0,0,0,0,0,0,0,0,0,1,1,0
Think about all the progress you've already made in increasing physical activity and how much closer you are now to reaching your ultimate goals!,0,0,0,0,0,0,0,0,1,0,1,0
Tracking your progress towards improving your diet and recognizing your successes along the way can help remind you of your goals and help keep you motivated!,0,0,0,0,0,0,0,0,0,1,0,0
Tracking your progress towards increasing your physical activity and recognizing your successes along the way can help remind you of your goals and help keep you motivated!,0,0,0,0,0,0,0,0,1,0,0,0
Working towards increasing your physical activity with a friend or family member can help keep you both motivated and on track through some friendly competition!,0,0,0,0,0,0,0,0,1,0,0,1
Working towards a healthier diet with a friend or family member can help keep you both motivated and on track through some friendly competition!,0,0,0,0,0,0,0,0,0,1,0,1
Family and friends can give you support and encouragement to keep you motivated. Who can you reach out to today for support in meeting your goal for a healthier diet?,0,0,0,0,0,0,0,0,0,1,1,1
Family and friends can give you support and encouragement to keep you motivated. Who can you reach out to today for support in meeting your physical activity goal?,0,0,0,0,0,0,0,0,1,0,1,1
"Going out to dinner can make it difficult to choose healthy food options. Try to look at menus online ahead of time to choose restaurants that have nutritious dishes lower in calories, sugar, and fat!",0,0,0,0,0,0,0,0,0,1,1,0
"Next time you go out to eat, consider swapping out french fries or chips for a vegetable side dish like a salad or steamed broccoli!",0,0,0,0,0,0,0,0,0,1,0,0
Restaurants often serve large portions. Try ordering an appetizer instead or splitting an entrée with a friend! Apps like MyFitnessPal can help you figure out approximate calories in your meal and track your daily caloric intake.,0,0,0,0,0,0,0,0,0,1,1,1
"When eating at a restaurant, don't be afraid to ask the waiter how a meal is prepared including what kind of oil is used or what ingredients may be in the meal that are not listed in the menu. Knowing more about the food can help you make healthy choices!",0,0,0,0,0,0,0,0,0,1,0,0
A way to avoid eating too much at social gatherings or when you go out to eat with friends is to have a healthy snack beforehand so you aren't so hungry!,0,0,0,0,0,0,0,0,0,1,0,1
"It might feel overwhelming to choose healthy options from a restaurant menu. Keeping your eye out for words like ""broiled,"" ""low-fat,"" ""steamed,"" or ""baked"" can help you identify the healthier dishes.",0,0,0,0,0,0,0,0,0,1,0,0
"A helpful tip for preventing over-eating is to drink water frequently, both before and during a meal. Drinking more water can help you stay hydrated and also helps you feel full!",0,0,0,0,0,0,0,0,0,1,0,0
"A heart-healthy diet involves foods that are low in calories, salt, and fat and high in fiber. What are some healthy choices you can make today?",0,0,0,0,0,0,0,0,0,1,1,0
Sitting for long periods of time can be detrimental to heart health. Try standing up every half hour and moving around for two minutes!,0,0,0,0,0,0,0,0,1,0,1,0
"The mind-body connection is a strong one. Stress is not only harmful for your mind but also harmful for your heart. If you are feeling stressed, try pausing and taking several deep breaths.",0,0,0,0,0,0,0,0,0,0,0,0
"Believe it or not, a small amount of healthy fat can be good for your heart! Foods like avocado, nuts, or olive oil are low in saturated and trans fats and are healthy choices to eat in moderation.",0,0,0,0,0,0,0,0,0,1,0,0
"Skin and fat on meats are high in cholesterol, which can be detrimental to your heart health. When eating meat, consider removing the skin and cutting away the fat for a more heart-healthy meal!",0,0,0,0,0,0,0,0,0,1,0,0
"High-fat dairy products can contain high levels of cholesterol. For a heart healthy option, try low- or non-fat dairy products instead!",0,0,0,0,0,0,0,0,0,1,0,0
Stress is bad for both your mind and your body. Have you been feeling stressed lately? Try confiding in a friend or family member about what's on your mind.,0,0,0,0,0,0,0,0,0,0,1,1
Have you been feeling stressed lately? Try this fun technique to relax: tense your forearms for five seconds and then release the tension for ten seconds. Repeat this with other areas of your body until you feel more calm.,0,0,0,0,0,0,0,0,0,0,1,0
"Have you been feeling stressed lately? Try taking deep breaths and counting slowly to 20 in your head. If that doesn't help, try confiding in a friend or family member about what's on your mind.",0,0,0,0,0,0,0,0,0,0,1,1
"Do specific events stress you out? If so, it can be helpful to develop a plan for how to relax before, during, and after the event. Try taking deep breaths or sharing your feelings with a friend!",0,0,0,0,0,0,0,0,0,0,1,1
Physical activity and a healthy diet can help control many risk factors for heart disease. Take a walk today and add some colorful vegetables to your meals!,0,0,0,0,0,0,0,0,1,1,1,0
"If you are over the age of 40, you should have your cholesterol levels checked every year to help maintain heart health. Schedule an appointment with your doctor today if you don't already have one!",0,0,0,0,0,0,0,0,0,1,1,0
"If you are under the age of 40, you should have your cholesterol levels checked every five years to maintain heart health. Make sure you know the recommended levels for LDL/HDL and triglycerides!",0,0,0,0,0,0,0,0,0,1,1,0
"The American Heart Association has identified the following as risk factors for heart disease: smoking, physical inactivity, high cholesterol, high blood pressure, diabetes, obesity, stress, alcohol consumption, and poor diet. Are any of these factors something you would like to change?",0,0,0,0,0,0,0,0,1,1,0,0
Being physically active and having a healthy diet can reduce your risk for heart disease. A heart-healthy lifestyle is your best defense against heart disease!,0,0,0,0,0,0,0,0,1,1,0,0
"High blood pressure increases the risk for developing both health disease and kidney failure. Be sure to have regular appointments with your doctor, exercise consistently, and eat healthy foods!",0,0,0,0,0,0,0,0,1,1,0,0
"To prevent or manage heart disease, you should exercise for at least 30 minutes 5 days per week. What can you do today to be active?",0,0,0,0,0,0,0,0,1,0,1,0
"To prevent or manage heart disease, eat healthy high-fiber foods that are low in cholesterol, trans fats, and saturated fats. Try to eat less than 300mg of cholesterol every day!",0,0,0,0,0,0,0,0,0,1,0,0
"To prevent or manage heart disease, try eating vegetables, fruits, and fiber-rich whole-grain foods, and limit how much sodium you eat. Try adding in two 3.5 oz servings of fish per week as well!",0,0,0,0,0,0,0,0,0,1,0,0
"To make the most out of your next trip to the grocery store, make a list ahead of time and stick to it. Make sure you include some healthy snacks!",0,0,0,0,0,0,0,0,0,1,1,0
Looking through local grocery fliers to find what items are on sale is a good way to save time and money the next time you go to the grocery store.,0,0,0,0,0,0,0,0,0,1,0,0
Cooking healthy meals can seem time-consuming and complicated at times. Cutting up your veggies ahead of time and saving leftovers for future meals are great ways to save time!,0,0,0,0,0,0,0,0,0,1,0,0
"A healthy meal is made up of 50% non-starchy vegetables and fruits, 25% grains, and 25% lean protein (for example, chicken or fish). Fill your grocery cart with these foods!",0,0,0,0,0,0,0,0,0,1,1,0
"It may not be realistic to eliminate desserts and sweets completely from your diet. Just remember, indulge in moderation!",0,0,0,0,0,0,0,0,0,1,0,0
"Thinking about healthy ways to prepare food for dinner? Try grilling, steaming, or baking meats and veggies to minimize unhealthy fats.",0,0,0,0,0,0,0,0,0,1,0,0
Try to avoid sodas and fruit drinks that are high in sugar and calories. Water is always the healthiest and cheapest option!,0,0,0,0,0,0,0,0,0,1,0,0
Making changes can be difficult. Consider joining a support group with others trying to be more physically active. It's a great way to encourage yourself and others to stay on the path towards a healthy lifestyle!,0,0,0,0,0,0,0,0,1,0,1,1
"If you have trouble staying on track, consider writing down your physical activity goals and sharing them with your friends and family. They can cheer you on and hold you accountable!",0,0,0,0,0,0,0,0,1,0,1,1
"If you have trouble staying on track, consider writing down your goals for improving your diet and sharing them with your friends and family. They can cheer you on and hold you accountable!",0,0,0,0,0,0,0,0,0,1,1,1
"If you're looking for more support, try joining a new fitness club. You might meet other people with similar goals for increasing physical activity who can work with you and encourage you!",0,0,0,0,0,0,0,0,1,0,1,1
Consider speaking with a professional in your community with specialized training in promoting healthy behaviors. You can learn new tips for increasing physical activity and receive extra support in working towards your goals! ,0,0,0,0,0,0,0,0,1,0,1,0
Consider speaking with a professional in your community with specialized training in promoting healthy behaviors. You can learn new tips for improving your diet and receive extra support in working towards your goals! ,0,0,0,0,0,0,0,0,0,1,1,0
"Sometimes negative friends, family members, or coworkers can discourage you from increasing your level of physical activity. Don't let them drag you down; you are in control of the choices you make!",0,0,0,0,0,0,0,0,1,0,0,0
"Sometimes negative friends, family members, or coworkers can discourage you from eating healthier foods. Don't let them drag you down; you are in control of the choices you make!",0,0,0,0,0,0,0,0,0,1,0,0
Invite your friends to make healthier choices with you. Having extra support can make it easier to stay focused and on track when trying to be more active!,0,0,0,0,0,0,0,0,1,0,1,1
"Support groups can be helpful in connecting you with people who are also trying to make healthier choices like increasing your level of physical activity. You can also receive help with healthcare, transportation, and finances as well!",0,0,0,0,0,0,0,0,1,0,0,1
"Support groups can be helpful in connecting you with people who are also trying to make healthier choices like eating healthier foods. You can also receive help with healthcare, transportation, and finances as well!",0,0,0,0,0,0,0,0,0,1,0,1
The food you eat and the beverages you drink all contain calories. Your body burns these calories when you are active. The goal is to balance the calories you take in with the ones you burn!,0,0,0,0,0,0,0,0,0,1,0,0
It can be helpful to track your calories throughout the day. Set a realistic goal for yourself and try not to go over it!,0,0,0,0,0,0,0,0,0,1,1,0
"If you are interested in cutting calories, try substituting water or skim milk for a sugary, high-calorie beverage. You might be surprised how many calories this saves you!",0,0,0,0,0,0,0,0,0,1,0,0
"There are easy ways to burn calories that don't require major changes to your daily schedule. Try climbing a hill, walking out of your way to get extra steps, or walking faster than you normally would!",0,0,0,0,0,0,0,0,1,0,1,0
"When snacking in front of the TV, it's easy to lose track of how much you eat. Try using a small bowl or dish to set aside a reasonable portion before you sit down to prevent over-eating!",0,0,0,0,0,0,0,0,0,1,1,0
"We can spend a lot of time during the day sitting, whether it be for work or for pleasure. Between meetings or commercial breaks, try to do an active activity like walking in place or doing some jumping jacks!",0,0,0,0,0,0,0,0,1,0,1,0
"If you're hungry when you go to the grocery store, you're more likely to choose comfort foods over healthy items. Try having a small snack before you leave so you can make better, healthier choices!",0,0,0,0,0,0,0,0,0,1,1,0
"Sometimes when we're bored, our bodies can mistake that feeling for hunger. If this is a problem for you, try talking a walk or chatting with a friend instead. If the hunger persists, try a small healthy snack!",0,0,0,0,0,0,0,0,0,1,1,0
"Healthy habits can feel like a chore, especially if you're trying to fit them into an already busy schedule. Set aside small portions of baby carrots or trail mix that you can easily grab on the go!",0,0,0,0,0,0,0,0,0,1,1,0
"You might be surprised to learn how unhealthy some beverages can be. Next time you're thirsty, try water, unsweetened tea, or another low-sugar option instead of soda or beer.",0,0,0,0,0,0,0,0,0,1,1,0
"Changing your diet can be really difficult! If you find yourself struggling, try to identify possible triggers for unhealthy habits (e.g., eating more when you are bored). Once you've identified these triggers, brainstorm how you can avoid them!",0,0,0,0,0,0,0,0,0,1,1,0
"Increasing physical activity can be very difficult, especially if you struggle with pain or fatigue. Start with a low-impact exercise like walking with a friend or doing yoga instead of a vigorous high-impact activity like running.",0,0,0,0,0,0,0,0,1,0,0,1
"Casual snacking can be unhealthy when we lose track of the amount of food we are eating. Instead of snacking at the same time as you are working or watching TV, try to eat a healthy snack when you are not distracted and can be more conscious about your portion control.",0,0,0,0,0,0,0,0,0,1,1,0
"Sometimes the foods we love the most are detrimental to our health. If you have a favorite dish that has unheatlhy ingredients, try exploring what healthier ingredients you can use as substitutes rather than avoiding the dish altogether!",0,0,0,0,0,0,0,0,0,1,1,0
"Coping with stress can be very difficult. Sometimes, we tend to use food to try to improve our mood. If you know you do this, make sure you have healthy choices on hand like fruits and vegetables and explore other ways to reduce stress!",0,0,0,0,0,0,0,0,0,1,1,0
It can be hard to stick to a healthy diet if your friends or family members are not doing the same. Try letting your friends and family members know about your health eating goals and encourage them to eat healthy with you!,0,0,0,0,0,0,0,0,0,1,1,1
"Negative thoughts can be a barrier to positive change in your life. When you're feeling down, try to identify negative thoughts and conciously replace them with encouragements or positive thoughts. Slowly, you'll get in the habit of positivity!",1,0,0,0,0,1,0,0,0,0,1,0
"When setting goals, remember that it can be easy to make excuses and slide back into old habits. If you plan to go for a walk three days this week, but it rains every day, have an alternative plan like using a treadmill or walking around an indoor mall.",0,0,0,0,0,0,0,0,1,0,0,0
"When making changes to your diet, it can be easy to become frustrated if you assume that you can never enjoy your favorite foods again. Try to avoid this kind of black-or-white thinking and remember that almost any food is ok for you in moderation!",0,0,0,0,0,0,0,0,0,1,1,0
"It's natural to try to compare yourself to others, but this is not always helpful. If you're feeling discouraged about your health compared to those around you, just focus on the many positive changes you've already made in your life!",1,0,0,0,0,1,0,0,0,0,1,0
Tracking what you eat every day is a great way to be more aware of your diet. Try keeping a food diary so you can see where you are doing well and where you can make improvements.,0,0,0,0,0,0,0,0,0,1,1,0
"Tracking what you eat every day is a great way to be more aware of your diet. If you like using phone apps, try MyFitnessPal or other similar apps that allow you to track your daily calories in an easy and quick way!",0,0,0,0,0,0,0,0,0,1,1,0
"Food packaging often has a lot of helpful information. First, look at the serving size; often, one serving is only a portion of the package and not the whole thing. Next, focus on the calories and carbohydrates per serving and note these in your food diary!",0,0,0,0,0,0,0,0,0,1,1,0
"It is always helpful to check the nutrition label on snacks and meals. While high amounts of fiber, protein, and vitamins are beneficial, you want to make sure that you are limiting your intake of carbohydrates, fat, and sodium.",0,0,0,0,0,0,0,0,0,1,0,0
"Keeping track of your food can feel like a time-consuming chore with your busy schedule. Try keeping a piece of paper or a phone app on hand to make tracking faster after each meal. Alternatively, you can take a picture of your meal before you eat so you can record it later!",0,0,0,0,0,0,0,0,0,1,1,0
"Keeping track of your food can feel like a time-consuming chore, especially when you have to make note of your food several times per day. Try setting reminders on your phone or watch; soon, it will just feel like a normal part of your regular routine!",0,0,0,0,0,0,0,0,0,1,1,0
"Getting started with a new exercise routine can feel really intimindating! Try starting with short, low-intensity exercises such as taking a walk around the block. Then, work up gradually in intensity as you feel yourself getting stronger!",0,0,0,0,0,0,0,0,1,0,1,0
Setting goals can be really helpful in establishing a new routine. Try setting exercise goals for yourself based on your own personal fitness level. Your goals should be challenging yet realistic so you don't get discouraged!,0,0,0,0,0,0,0,0,1,0,1,0
"You don't need fancy machines or weights to build your muscles. Try strength training with body weight exercises like squats, push-ups, or lunges in the comfort of your own home!",0,0,0,0,0,0,0,0,1,0,1,0
"Fitting exercise into your busy day can be a challenge! There are often simple changes that you can try that will make a big difference. For example, try waking up just 30 minutes earlier or leaving a few minutes after dinner to fit in a walk.",0,0,0,0,0,0,0,0,1,0,0,0
"A simple way to add exercise into your schedule is to walk or bike places instead of driving. If it's possible, try walking or biking to work or when doing errands to increase your daily physical activity!",0,0,0,0,0,0,0,0,1,0,1,0
Most of us spend more time analyzing bad events rather than savoring and appreciating positive events. Focusing on the positive is a skill that takes time and practice. Try to reflect on three positive moments from your day today!,1,1,0,0,0,0,0,0,0,0,1,0
"Even during difficult times, it is often possible to recognize positive moments. Recognize and face your challenges today with determination but also try to note and appreciate the small, positive moments along the way!",1,1,0,0,0,0,0,0,0,0,1,0
"Take time today to reflect on one positive thing that has happened and think about how it made you feel. If you write it down, you may experience an even bigger boost of joy from the simple act of recording it!",1,1,0,0,0,0,0,0,0,0,1,0
"People often remember negative events more easily than positive events. Today, try to balance this out by purposefully focusing more on the good parts of your day rather than the negative parts!",1,1,0,0,0,0,0,0,0,0,1,0
"Focusing on bad events can help us learn from them and avoid similar situations in the future. However, don't forget to savor and appreciate the good events as well so you can have more of them in the future!",1,1,0,0,0,0,0,0,0,0,0,0
"It is common to spend more time focusing on our shortcomings rather than our strengths. Today, remind yourself of one of your personal strengths and brainstorm a way to use this personal strength in a new way this week!",1,0,0,1,0,0,0,0,0,0,1,0
"Having a sense of mastery or expertise over something can feel really good. Today, do something that you are good at to remind yourself of your abilities!",1,0,0,1,0,0,0,0,0,0,1,0
"Reflecting on personal strengths can help you realize just how remarkable your abilities are. Today, try using a talent or strength that you haven't thought about in awhile!",1,0,0,1,0,0,0,0,0,0,1,0
"Using our unique personal strengths can boost self-esteem, increase energy, reduce stress, and increase feelings of productivity. Use a personal strength today to give youreself a boost of energy!",1,0,0,1,0,0,0,0,0,0,1,0
We often don't give ourselves enough credit for our skills and expertise. Spending more time thinking about your strengths can help you remember to give yourself the credit you deserve!,1,0,0,1,0,0,0,0,0,0,0,0
